,Estimated Resident Population ;  Male ;  New South Wales ;,Estimated Resident Population ;  Male ;  Victoria ;,Estimated Resident Population ;  Male ;  Queensland ;,Estimated Resident Population ;  Male ;  South Australia ;,Estimated Resident Population ;  Male ;  Western Australia ;,Estimated Resident Population ;  Male ;  Tasmania ;,Estimated Resident Population ;  Male ;  Northern Territory ;,Estimated Resident Population ;  Male ;  Australian Capital Territory ;,Estimated Resident Population ;  Male ;  Australia ;,Estimated Resident Population ;  Female ;  New South Wales ;,Estimated Resident Population ;  Female ;  Victoria ;,Estimated Resident Population ;  Female ;  Queensland ;,Estimated Resident Population ;  Female ;  South Australia ;,Estimated Resident Population ;  Female ;  Western Australia ;,Estimated Resident Population ;  Female ;  Tasmania ;,Estimated Resident Population ;  Female ;  Northern Territory ;,Estimated Resident Population ;  Female ;  Australian Capital Territory ;,Estimated Resident Population ;  Female ;  Australia ;,Estimated Resident Population ;  Persons ;  New South Wales ;,Estimated Resident Population ;  Persons ;  Victoria ;,Estimated Resident Population ;  Persons ;  Queensland ;,Estimated Resident Population ;  Persons ;  South Australia ;,Estimated Resident Population ;  Persons ;  Western Australia ;,Estimated Resident Population ;  Persons ;  Tasmania ;,Estimated Resident Population ;  Persons ;  Northern Territory ;,Estimated Resident Population ;  Persons ;  Australian Capital Territory ;,Estimated Resident Population ;  Persons ;  Australia ;
Unit,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE,STOCK_CLOSE
Frequency,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter
Collection Month,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Series Start,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981,Jun-1981
Series End,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016,Dec-2016
No. Obs,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143
Series ID,A2060825C,A2060826F,A2060827J,A2060828K,A2060829L,A2060830W,A2060831X,A2060832A,A2060824A,A2060834F,A2060835J,A2060836K,A2060837L,A2060838R,A2060839T,A2060840A,A2060841C,A2060833C,A2060843J,A2060844K,A2060845L,A2060846R,A2060847T,A2060848V,A2060849W,A2060850F,A2060842F
Jun-1981,2608351,1958717,1178447,653940,657249,212565,65393,113605,7448267,2626538,1988200,1166761,664829,642807,214659,57223,113976,7474993,5234889,3946917,2345208,1318769,1300056,427224,122616,227581,14923260
