LGA,Tot_P_P
Alpine,12337
Ararat,11600
Ballarat,101686
Banyule,121865
Bass Coast,32804
Baw Baw,48479
Bayside,97087
Benalla,13861
Boroondara,167231
Brimbank,194319
Buloke,6201
Campaspe,37061
Cardinia,94128
Casey,299301
Central Goldfields,12995
Colac-Otway,20972
Corangamite,16051
Darebin,146719
East Gippsland,45040
Frankston,134143
Gannawarra,10549
Glen Eira,140875
Glenelg,19557
Golden Plains,21688
Greater Bendigo,110477
Greater Dandenong,152050
Greater Geelong,233429
Greater Shepparton,63837
Hepburn,15330
Hindmarsh,5721
Hobsons Bay,88778
Horsham,19642
Hume,197376
Indigo,15952
Kingston,151389
Knox,154110
Latrobe,73257
Loddon,7516
Macedon Ranges,46100
Manningham,116255
Mansfield,8584
Maribyrnong,82288
Maroondah,110376
Melbourne,135959
Melton,135443
Mildura,53878
Mitchell,40918
Moira,29112
Monash,182618
Moonee Valley,116671
Moorabool,31818
Moreland,162558
Mornington Peninsula,154999
Mount Alexander,18761
Moyne,16495
Murrindindi,13732
Nillumbik,61273
Northern Grampians,11439
Port Phillip,100863
Pyrenees,7238
Queenscliffe,2853
South Gippsland,28703
Southern Grampians,15944
Stonnington,103832
Strathbogie,10274
Surf Coast,29397
Swan Hill,20584
Towong,5985
Wangaratta,28310
Warrnambool,33655
Wellington,42983
West Wimmera,3903
Whitehorse,162078
Whittlesea,197491
Wodonga,39351
Wyndham,217122
Yarra,86657
Yarra Ranges,149537
Yarriambiack,6674
